Id,Speed (km/h),Position,Distance
1.0,6.9230769230769225,221.0,1.0
2.0,6.9230769230769225,236.0,1.0
3.0,0.0,188.0,0.0
4.0,0.0,145.0,0.0
5.0,13.846153846153845,190.0,2.0
6.0,13.846153846153845,173.0,2.0
7.0,0.0,144.0,0.0
8.0,0.0,200.0,0.0
9.0,40.230000000000004,193.0,11.0
10.0,0.0,176.0,0.0
11.0,0.0,131.0,0.0
12.0,6.9230769230769225,160.0,1.0
13.0,20.76923076923077,152.0,3.0
15.0,27.69230769230769,141.0,4.0
16.0,0.0,117.0,0.0
17.0,6.9230769230769225,117.0,1.0
18.0,6.9230769230769225,196.0,1.0
19.0,0.0,60.0,0.0
20.0,13.846153846153845,83.0,2.0
21.0,6.9230769230769225,24.0,1.0
22.0,6.9230769230769225,176.0,1.0
1.0,6.428571428571428,221.0,1.0
2.0,6.428571428571428,236.0,1.0
3.0,6.428571428571428,189.0,1.0
4.0,0.0,145.0,0.0
5.0,12.857142857142856,190.0,2.0
6.0,12.857142857142856,173.0,2.0
7.0,6.428571428571428,145.0,1.0
8.0,0.0,200.0,0.0
9.0,40.230000000000004,193.0,11.0
10.0,6.428571428571428,175.0,1.0
11.0,0.0,131.0,0.0
12.0,6.428571428571428,160.0,1.0
13.0,19.285714285714285,152.0,3.0
15.0,32.14285714285714,142.0,5.0
16.0,0.0,117.0,0.0
17.0,6.428571428571428,117.0,1.0
18.0,12.857142857142856,197.0,2.0
19.0,0.0,60.0,0.0
20.0,19.285714285714285,84.0,3.0
21.0,6.428571428571428,24.0,1.0
22.0,6.428571428571428,176.0,1.0
1.0,6.0,221.0,1.0
2.0,6.0,236.0,1.0
3.0,6.0,189.0,1.0
4.0,0.0,145.0,0.0
5.0,12.0,190.0,2.0
6.0,12.0,173.0,2.0
7.0,6.0,145.0,1.0
8.0,0.0,200.0,0.0
9.0,40.230000000000004,192.0,12.0
10.0,12.0,174.0,2.0
11.0,0.0,131.0,0.0
12.0,6.0,160.0,1.0
13.0,18.0,152.0,3.0
15.0,36.0,143.0,6.0
16.0,0.0,117.0,0.0
17.0,6.0,117.0,1.0
18.0,18.0,198.0,3.0
19.0,0.0,60.0,0.0
20.0,24.0,85.0,4.0
21.0,6.0,24.0,1.0
22.0,0.0,177.0,0.0
23.0,40.230000000000004,203.0,6.0
1.0,5.625,221.0,1.0
2.0,11.25,237.0,2.0
3.0,5.625,189.0,1.0
4.0,0.0,145.0,0.0
5.0,16.875,191.0,3.0
6.0,11.25,173.0,2.0
7.0,11.25,146.0,2.0
8.0,0.0,200.0,0.0
9.0,40.230000000000004,191.0,13.0
10.0,16.875,173.0,3.0
11.0,5.625,132.0,1.0
12.0,0.0,159.0,0.0
13.0,16.875,152.0,3.0
15.0,33.75,143.0,6.0
16.0,5.625,116.0,1.0
17.0,5.625,117.0,1.0
18.0,11.25,197.0,2.0
19.0,0.0,60.0,0.0
20.0,22.5,85.0,4.0
21.0,5.625,24.0,1.0
22.0,0.0,177.0,0.0
23.0,38.57142857142857,203.0,6.0
1.0,5.294117647058823,221.0,1.0
2.0,10.588235294117647,237.0,2.0
3.0,10.588235294117647,190.0,2.0
4.0,0.0,145.0,0.0
5.0,21.176470588235293,192.0,4.0
6.0,10.588235294117647,173.0,2.0
7.0,10.588235294117647,146.0,2.0
8.0,0.0,200.0,0.0
9.0,40.230000000000004,190.0,14.0
10.0,15.88235294117647,173.0,3.0
11.0,5.294117647058823,132.0,1.0
12.0,5.294117647058823,160.0,1.0
13.0,15.88235294117647,152.0,3.0
15.0,31.76470588235294,143.0,6.0
16.0,5.294117647058823,116.0,1.0
17.0,5.294117647058823,117.0,1.0
18.0,10.588235294117647,197.0,2.0
