Id,Speed (km/h),Position,Distance
1.0,14.4,94.0,2.0
2.0,7.2,99.0,1.0
3.0,0.0,82.0,0.0
4.0,7.2,76.0,1.0
5.0,7.2,87.0,1.0
6.0,7.2,79.0,1.0
7.0,36.0,61.0,5.0
1.0,13.292307692307693,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,6.6461538461538465,76.0,1.0
5.0,6.6461538461538465,87.0,1.0
6.0,6.6461538461538465,79.0,1.0
7.0,39.876923076923084,60.0,6.0
1.0,12.342857142857142,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,6.171428571428571,76.0,1.0
5.0,6.171428571428571,87.0,1.0
6.0,6.171428571428571,79.0,1.0
7.0,43.2,59.0,7.0
1.0,11.520000000000001,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,5.760000000000001,76.0,1.0
5.0,5.760000000000001,87.0,1.0
6.0,5.760000000000001,79.0,1.0
7.0,51.84,57.0,9.0
1.0,10.8,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,5.4,76.0,1.0
5.0,5.4,87.0,1.0
6.0,0.0,80.0,0.0
7.0,54.0,56.0,10.0
1.0,10.16470588235294,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,0.0,77.0,0.0
5.0,15.247058823529413,85.0,3.0
6.0,5.08235294117647,79.0,1.0
1.0,9.6,94.0,2.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,4.8,76.0,1.0
5.0,19.2,84.0,4.0
6.0,9.6,78.0,2.0
1.0,4.547368421052632,95.0,1.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,4.547368421052632,76.0,1.0
5.0,27.284210526315793,82.0,6.0
6.0,9.094736842105265,78.0,2.0
1.0,4.32,95.0,1.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,0.0,77.0,0.0
5.0,38.879999999999995,79.0,9.0
6.0,8.64,78.0,2.0
1.0,4.114285714285714,95.0,1.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,0.0,77.0,0.0
6.0,4.114285714285714,79.0,1.0
1.0,3.9272727272727277,95.0,1.0
2.0,0.0,98.0,0.0
3.0,0.0,82.0,0.0
4.0,0.0,77.0,0.0
6.0,3.9272727272727277,79.0,1.0
1.0,3.756521739130435,95.0,1.0
2.0,3.756521739130435,97.0,1.0
3.0,3.756521739130435,81.0,1.0
4.0,0.0,77.0,0.0
6.0,3.756521739130435,79.0,1.0
1.0,3.6,95.0,1.0
2.0,0.0,98.0,0.0
3.0,3.6,81.0,1.0
4.0,0.0,77.0,0.0
6.0,3.6,79.0,1.0
1.0,3.6,95.0,1.0
2.0,0.0,98.0,0.0
3.0,3.6,81.0,1.0
4.0,3.6,76.0,1.0
6.0,0.0,79.0,0.0
1.0,3.6,95.0,1.0
2.0,3.6,98.0,1.0
