Id,Speed (km/h),Position,Distance
2.0,20.88,474.0,3.0
8.0,13.919999999999998,416.0,2.0
2.0,19.575,474.0,3.0
8.0,13.05,416.0,2.0
3.0,13.919999999999998,458.0,2.0
2.0,18.423529411764708,474.0,3.0
3.0,13.05,458.0,2.0
5.0,20.88,458.0,3.0
2.0,17.4,474.0,3.0
3.0,12.282352941176471,458.0,2.0
5.0,26.1,459.0,4.0
2.0,16.484210526315792,474.0,3.0
3.0,11.600000000000001,458.0,2.0
2.0,15.659999999999998,474.0,3.0
3.0,16.484210526315792,459.0,3.0
7.0,40.230000000000004,435.0,6.0
4.0,20.88,448.0,3.0
5.0,24.564705882352943,459.0,4.0
2.0,14.914285714285716,474.0,3.0
3.0,15.659999999999998,459.0,3.0
7.0,40.230000000000004,436.0,7.0
4.0,19.575,448.0,3.0
5.0,23.200000000000003,459.0,4.0
2.0,18.981818181818184,475.0,4.0
3.0,19.885714285714286,460.0,4.0
7.0,36.847058823529416,435.0,6.0
4.0,18.423529411764708,448.0,3.0
5.0,21.978947368421053,459.0,4.0
6.0,27.839999999999996,438.0,4.0
2.0,18.156521739130437,475.0,4.0
3.0,18.981818181818184,460.0,4.0
7.0,34.8,435.0,6.0
4.0,17.4,448.0,3.0
5.0,20.88,459.0,4.0
6.0,26.1,438.0,4.0
2.0,21.75,476.0,5.0
3.0,18.156521739130437,460.0,4.0
7.0,32.968421052631584,435.0,6.0
4.0,21.978947368421053,449.0,4.0
5.0,19.885714285714286,459.0,4.0
2.0,20.880000000000003,476.0,5.0
3.0,17.4,460.0,4.0
7.0,31.319999999999997,435.0,6.0
4.0,20.88,449.0,4.0
5.0,18.981818181818184,459.0,4.0
6.0,30.705882352941178,439.0,5.0
2.0,20.076923076923077,476.0,5.0
3.0,16.704000000000004,460.0,4.0
7.0,29.828571428571433,435.0,6.0
4.0,19.885714285714286,449.0,4.0
5.0,18.156521739130437,459.0,4.0
6.0,29.0,439.0,5.0
2.0,19.333333333333332,476.0,5.0
3.0,16.06153846153846,460.0,4.0
7.0,33.218181818181826,436.0,7.0
4.0,18.981818181818184,449.0,4.0
5.0,21.75,460.0,5.0
6.0,27.47368421052632,439.0,5.0
2.0,18.642857142857142,476.0,5.0
3.0,19.333333333333332,461.0,5.0
7.0,31.77391304347826,436.0,7.0
5.0,20.880000000000003,460.0,5.0
18.0,34.8,459.0,5.0
6.0,26.099999999999998,439.0,5.0
2.0,18.0,476.0,5.0
3.0,18.642857142857142,461.0,5.0
7.0,30.450000000000003,436.0,7.0
5.0,24.092307692307692,461.0,6.0
18.0,32.625,459.0,5.0
6.0,24.857142857142858,439.0,5.0
4.0,22.695652173913043,450.0,5.0
2.0,18.0,476.0,5.0
3.0,18.0,461.0,5.0
7.0,29.232000000000003,436.0,7.0
5.0,23.200000000000003,461.0,6.0
18.0,36.847058823529416,460.0,6.0
17.0,40.230000000000004,475.0,6.0
6.0,23.727272727272727,439.0,5.0
4.0,21.75,450.0,5.0
8.0,30.705882352941178,419.0,5.0
2.0,18.0,476.0,5.0
3.0,21.6,462.0,6.0
7.0,32.12307692307692,437.0,8.0
5.0,22.371428571428574,461.0,6.0
6.0,22.695652173913043,439.0,5.0
4.0,20.880000000000003,450.0,5.0
8.0,29.0,419.0,5.0
2.0,18.0,477.0,5.0
3.0,21.6,462.0,6.0
7.0,30.933333333333337,437.0,8.0
5.0,21.6,461.0,6.0
6.0,26.1,440.0,6.0
4.0,20.076923076923077,450.0,5.0
8.0,27.47368421052632,419.0,5.0
